国家,背号,姓名,位置,身高(cm),出生年份,俱乐部
多米尼加,18,德拉罗萨,S,178,2001,NEC火箭(日联)
多米尼加,31,蒙德西,O,178,2010,-
多米尼加,4,佩拉尔塔,OH,186,1999,赫米尼斯体育(秘魯)
多米尼加,19,特雷罗,MB,188,2003,赫米尼斯体育(秘魯)
多米尼加,20,B. 马丁内斯,OH,201,1996,喀山阿克巴斯迪纳摩(俄罗斯)
多米尼加,15,吉伦,OH,186,2001,万隆坦达马塔(印尼)
多米尼加,21,J. 马丁内斯,MB,192,1997,天津渤海银行
多米尼加,25,L. 马丁内斯,L,174,1996,-
多米尼加,22,卡拉瓦略,OH,179,1999,MBH-Békéscsabai RSE(匈牙利)
多米尼加,24,纳塔莉亚,OH,186,2000,塔帕蒂奥斯(墨西哥)
多米尼加,6,A. 罗德里格斯,S,184,2005,佛罗里达迈阿密大学
多米尼加,28,阿隆索,O,190,2005,赫米尼斯体育(秘魯)
多米尼加,12,佩雷斯,S,178,1998,-
多米尼加,17,帕尼亚瓜,S,175,2006,-
多米尼加,29,费尔南德斯,L,165,2005,-
多米尼加,32,利贝拉托,S,178,2005,Club Deportivo Calero
法国,5,比梅尔,L,166,1999,勒瓦卢瓦圣克卢
法国,41,阿涅斯,L,164,2006,旺德夫尔南锡
法国,1,卡绍特,OH,184,1997,瓦基弗银行(土耳其)
法国,4,拉塔希里・利,OH,178,2004,戛纳竞技
法国,7,恩迪亚耶,O,188,2002,尼吕费尔(土耳其)
法国,12,恩戈隆戈洛,MB,188,2002,戛纳竞技
法国,8,沙尔克,OH,185,2005,亚利桑那州立大学
法国,20,布鲁尼耶 - 巴朗德拉,MB,190,2005,埃夫勒
法国,9,斯托伊利科维奇,S,180,1996,彭尼奧尼奧斯(希腊)
法国,27,塞比蒂,MB,188,2007,法国未来队
法国,59,德弗赖,MB,191,2003,德州山猫队
法国,10,方格杜,MB,186,2003,沙马利埃尔
法国,15,西尔韦斯,MB,194,2000,蒙维索
法国,18,马蒂,S,191,2007,IFVB 2
法国,77,罗维拉,O,191,2003,戛纳竞技
法国,29,沙莫,S,177,1997,南特海神
法国,2,舒伊克 - 巴贝兹,OH,183,2004,沙马利埃尔
法国,19,德皮,O,182,2007,勒瓦卢瓦圣克卢 CFC
法国,6,库埃特,OH,182,2008,法国未来队
法国,21,埃卢加,MB,191,1999,贝济耶
法国,16,菲东,OH,184,1996,马克昂巴勒勒
法国,25,肖莱,OH,181,2000,Pölkky Kuusamo
法国,35,达纳尔・塞洛斯,S,177,2002,米卢斯
法国,68,热吉,L,165,2001,沙马利埃尔
法国,78,马叙埃尔,MB,184,2000,戛纳竞技
法国,17,布朗,S,186,2005,沙马利埃尔
法国,88,罗塔尔,OH,188,2000,米兰
法国,91,巴,OH,187,2003,基耶里
法国,99,热兰,L,162,2001,格兹泰佩
法国,83,雷斯波,S,177,2003,爱尔福特黑白队
德国,1,内斯特勒,L,169,2001,德累斯顿
德国,3,塞萨尔,L,173,1997,内布拉斯加 LOVB
德国,6,施陶茨,OH,180,1993,斯图加特
德国,29,格尔茨,L,175,2005,爱尔福特黑白队
德国,8,科恩,S,184,2003,什未林
德国,16,采库拉耶夫,MB,187,2003,基耶里
德国,9,阿尔斯迈尔,OH,189,2000,诺瓦拉
德国,13,韦斯克,O,188,2001,贝加莫
德国,24,贝格尔,MB,192,2002,苏尔图林根
德国,14,舍尔策尔,MB,190,1997,刈谷女王
德国,34,海尔,MB,190,2008,明斯特 
德国,35,范克莱韦,MB,193,2003,什未林
德国,15,雅茨科,OH,187,2000,罗马 SMI
德国,20,金德曼,O,190,1999,蒙维索
德国,18,格罗泽,OH,183,2007,什未林
德国,32,耶本斯,O,189,2004,亚琛黑娘子军
德国,19,桑巴莱,L,171,2003,苏尔图林根
德国,7,塔巴丘克斯,OH,188,2007,俄勒冈大学
德国,21,魏策尔,MB,195,2000,斯坎迪奇
德国,11,蒂默,OH,187,2001,亚特兰大律动
德国,12,奥特曼,OH,188,1998,土耳其航空
德国,22,施特鲁贝,MB,189,2001,贝加莫
德国,17,马丁,OH,182,2000,明斯特 
德国,23,施特劳贝,S,185,2002,圣乔瓦尼
德国,27,斯特罗特霍夫,OH,186,2005,明斯特 
德国,33,舒尔策,OH,186,2008,明斯特 
德国,5,格拉布,S,180,2000,基耶里
德国,25,普费弗,MB,194,2005,德累斯顿
德国,31,基希霍夫,O,182,2004,什未林
德国,26,乔丹,S,178,2005,明斯特 
意大利,5,斯皮里托,L,174,1994,基耶里
意大利,2,梅利,MB,183,2001,贝加莫
意大利,3,坎比,S,178,1996,诺瓦拉
意大利,7,费尔西诺,L,169,2000,米兰
意大利,6,马尔凯西尼,MB,188,2006,阿尔蒂诺
意大利,9,阿克拉里,MB,185,1993,蒙维索
意大利,10,莫罗,L,178,1999,蒙维索
意大利,11,达内西,MB,195,1996,米兰
